Algorithm,Array Size,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Time (microseconds), Hue
Quick Sort,15000,1230,1301,1443,1232,1377,1234,1218,1216,1233,1220,1270.4,UnOptimised
Quick Sort Optimised,15000,69,53,51,62,70,63,59,58,53,60,59.8,Optimised
Bubble Sort,15000,254787,264991,254792,262193,293412,261304,252740,257533,254809,253121,260968.2,UnOptimised
Bubble Sort Optimised ,15000,264106,270418,257229,255102,285092,276336,253334,264152,257203,269907,265287.9,Optimised
Bubble Comb Sort Optimised,15000,1611,1596,1584,1582,4189,1583,1606,1580,1626,1578,1853.5,Optimised
Std Sort,15000,2674,3004,2695,2685,3005,2699,2682,2673,2761,2752,2763,Optimised
Insertion Sort,20000,111064,123384,111057,110627,117014,113983,110305,114308,119626,114405,114577.3,UnOptimised
Insertion Sort Optimised,20000,137441,115509,132757,165066,154202,157168,127188,157026,132299,142806,142146.2,Optimised
Shell Sort,20000,903,962,947,915,903,922,943,937,941,1054,942.7,UnOptimised
Shell Sort Optimised ,20000,1483,1635,1870,1482,1476,1489,1500,1493,1526,1544,1549.8,Optimised
Rubix Sort,20000,19421,20215,18604,18499,18790,18536,18156,18786,20873,18340,19022,UnOptimised
Rubix Sort Optimised ,20000,1744,2046,1679,1714,1731,1760,1825,1740,1759,1674,1767.2,Optimised
Bitwise Optimised Rubix Sort,20000,3136,3030,2891,2923,2874,2904,2916,3230,3099,2901,2990.4,Optimised
Bitwise Optimised Vector Rubix Sort,20000,3037,3061,2816,2831,2747,2788,2958,2855,2917,2845,2885.5,Optimised
Quick Sort,20000,1754,1591,1965,1587,1591,1635,1588,1605,1616,1588,1652,UnOptimised
Quick Sort Optimised,20000,109,107,124,107,108,109,103,108,109,107,109.1,Optimised
Bubble Sort,20000,487917,457539,452177,447856,482669,468732,453133,452470,453122,447194,460280.9,UnOptimised
Bubble Sort Optimised ,20000,472959,461585,442795,449236,495428,455949,447031,471130,438465,442179,457675.7,Optimised
Bubble Comb Sort Optimised,20000,2380,2070,2373,2070,2105,2138,2074,2261,2079,2074,2162.4,Optimised
Std Sort,20000,3626,3583,3607,3642,3642,4715,3589,3943,3769,3637,3775.3,Optimised
